Declaração;Ano;Ano Referencia;Data Criação;Data Entrega;Declarante;Município Declarante;UF Declarante;Descrição;Logradouro;Número;Complemento;Bairro;Cidade;UF;CEP;Latitude;Longitude
137;2019;2018;;04/10/2019;SANTA CATARINA;Itapoá;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;Saí-Mirim;Itapoá;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;Xanxerê;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;Baliza;Xanxerê;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;Três Barras;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;Barra Grande;Três Barras;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;Witmarsum;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;;Witmarsum;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;Urussanga;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;Rio América;Urussanga;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;União do Oeste;SC;Área degradada por disposição irregular de RSU (lixão desativado).;Linha Gruta;;;;União do Oeste;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;Tubarão;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;São João;Tubarão;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;Treviso;SC;Área degradada por disposição irregular de RSU (lixão desativado).;Estrada da Piurra;;;;Treviso;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;Siderópolis;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;;Siderópolis;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;São Ludgero;SC;Área degradada por disposição irregular de RSU (lixão desativado).;Saída para cidade de Braço do Norte;;;;São Ludgero;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;São José do Cedro;SC;Área degradada por disposição irregular de RSU (lixão desativado).;Linha Esperança;;;;São José do Cedro;SC;;-26.472.542;-53.497.472
137;2019;2018;;04/10/2019;SANTA CATARINA;São Joaquim;SC;Área degradada por disposição irregular de RSU (lixão desativado).;Estrada para localizade da Estancia do Meio;;;;São Joaquim;SC;;-28.323.447;-50.018.794
137;2019;2018;;04/10/2019;SANTA CATARINA;São João do Itaperiú;SC;-26,904167;;;;Mantiqueira;São João do Itaperiú;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;São Francisco do Sul;SC;-26,904167;;;;Tapera;São Francisco do Sul;SC;;-26.281.089;-48.652.650
137;2019;2018;;04/10/2019;SANTA CATARINA;São Carlos;SC;-26,904167;;;;Cristo Rei;São Carlos;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;São Bento do Sul;SC;-26,904167;Ao lado do Aterro;;;;São Bento do Sul;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;Sangão;SC;-26,904167;;;;Rio Saõ Crstovão;Sangão;SC;;;
137;2019;2018;;04/10/2019;SANTA CATARINA;Salto Veloso;SC;Área degradada por disposição irregular de RSU (lixão desativado).;;;;;Salto Veloso;SC;;-26.904.167;-51.416.389
137;2019;2018;;04/10/2019;SANTA CATARINA;Romelândia;SC;Área degradada por disposição irregular de RSU (lixão desativado).;Linha Primeirinha;;;;Romelândia;SC;;;
