Declaração;Ano;Ano Referencia;Data Criação;Data Entrega;Declarante;Município Declarante;UF Declarante;Possui Passivo Ambiental;Passivo Ambiental - Descritivo;Passivo Ambiental - Área;Passivo Ambiental - Unidade;Logradouro;Número;Complemento;Bairro;Cidade;UF;CEP;Latitude;Longitude
204;2019;2018;;17/12/2019;Irará;Irará;BA;Não;;;;;;;;;;;;
71;2019;2018;;13/08/2019;IMPERATRIZ;Imperatriz;MA;Não;;;;;;;;;;;;
75;2019;2018;;27/08/2019;SÃO LUÍS;São Luís;MA;Não;Aterro Controlado em operação durante 20 anos. Desde 2012 recebe obras de recuperação e a partir de 2015 deixou de receber resíduos.;26;HEC;Aterro da Ribeira, Av. Engenheiro Emiliano Macieira;S/n;;Distrito Industrial;São Luís;MA;65090-260;;
110;2019;2018;;27/09/2019;Caranaíba;Caranaíba;MG;Sim;Os resíduos no local encontram-se recobertos e a área revegetada (vegetação espontânea).;;M²;Zona Rural do Municipio;s/n;Zona Rural;Zona Rural;Caranaíba;MG;36428-00;;
102;2019;2018;;27/09/2019;Casa Grande;Casa Grande;MG;Sim;Atualmente encontra-se isolado com cerca de arame farpado e revegetado.;;M²;Córrego Fundo (Fazenda do Afrânio);s/n;; Zona Rural;Casa Grande;MG;36422-000;;
91;2019;2018;;01/10/2019;Cordislândia;Cordislândia;MG;Não;;;;;;;;;;;;
217;2019;2018;;28/11/2019;Coronel Xavier Chaves;Coronel Xavier Chaves;MG;Sim;Usina de Triagem e Compostagem e resíduos sólidos urbanos. ( aterro desativado) ;2.4;HEC;Rodovia João Vicente Vieira Camargo;;Zona Rural;Povoado Jacuba;Coronel Xavier Chaves;MG;36330-000;;
112;2019;2018;;27/09/2019;Cristiano Otoni;Cristiano Otoni;MG;Sim;O local foi utilizado como depósito de lixo por cerca de 20 anos, sendo erradicado no ano de 2005. Atualmente os resíduos encontram-se recobertos e o local revegetado, isolado e possui placa de identificação. ;0;M²;Paraopeba;s/n;Ao lado da atual UTC;Zona Rural;Cristiano Otoni;MG;36426-000;;
108;2019;2018;;27/09/2019;Queluzito;Queluzito;MG;Sim;A área encontra-se revegetada.;200;M²;Rua Professor Manoel Lino;120;Estrada para comunidade de Ponte de Pedra;Centro;Queluzito;MG;36424-000;;
108;2019;2018;;27/09/2019;Queluzito;Queluzito;MG;Sim;É uma área de erosão, de propriedade da Prefeitura e que não possui isolamento e placa de identificação. A área encontra-se revegetada (vegetação espontânea).;150;M²;Rua Elói Lacerda ;s/n;final da rua;Zona Rural;Queluzito;MG;36424-000;;
109;2019;2018;;25/09/2019;Guarabira;Guarabira;PB;Não;;;;;;;;;;;;
194;2019;2018;;30/12/2019;Niterói;Niterói;RJ;Sim;Aterro Controlado de Niterói foi encerrado;100020.3;M²;rua Arthur Pereira da Mota;s/nº;;Caramujo;Niterói;RJ;24140-500;;
235;2019;2018;;26/12/2019;Petrópolis;Petrópolis;RJ;Sim;;120000;M²;Rodovia BR 040;km 49,5;;Pedro do Rio;Petrópolis;RJ;25755-435;;
235;2019;2018;;26/12/2019;Petrópolis;Petrópolis;RJ;Sim;;37770.9;M²;Rua Luiz Winter Bingen, Petrópolis - RJ;s/n;;Bingen;Petrópolis;RJ;25665-431;;
227;2019;2018;;19/12/2019;São Fidélis;São Fidélis;RJ;Sim;Área ocupada pelo lixão;13594.02;M²;RJ - 158 que liga São Fidélis a Itaocara;;;Vila dos Coroados;São Fidélis;RJ;28400-000;;
86;2019;2018;;19/09/2019;Ibirubá;Ibirubá;RS;Sim;"Descritivo:
ÁREA DEGRADADA ( antigo Lixão)
Matrícula 3573
Licença LU Nº 203/2018 (Vencimento 05/07/2023).";8000;M²;Linha Pulador Sul;S/N;;Interior;Ibirubá;RS;98200-000;;
224;2019;2018;;09/12/2019;Ascurra;Ascurra;SC;Sim;lixão em processo de recuperação;6000;M²;Rua Dante Zonta;425;;Estação;Ascurra;SC;89138000;;
238;2019;2018;;28/12/2019;Balneário Piçarras;Balneário Piçarras;SC;Não;;;;;;;;;;;;
176;2019;2018;;30/10/2019;BLUMENAU;Blumenau;SC;Sim;Aterro Sanitário - Inativo;135561.99;M²;Rua Engenheiro Udo Deeke;430;Fundos Terminal Aterro;Salto do Norte;Blumenau;SC;89065-101;;
149;2019;2018;;06/11/2019;Bom Retiro;Bom Retiro;SC;Não;;;;;;;;;;;;
187;2019;2018;;30/10/2019;Brunópolis;Brunópolis;SC;Não;;;;;;;;;;;;
124;2019;2018;;03/10/2019;Chapecó;Chapecó;SC;Não;;;;;;;;;;;;
229;2019;2018;;17/12/2019;Doutor Pedrinho;Doutor Pedrinho;SC;Não;;;;;;;;;;;;
150;2019;2018;;15/10/2019;Galvão;Galvão;SC;Não;;;;;;;;;;;;
119;2019;2018;;15/10/2019;Garuva;Garuva;SC;Sim;Conforme estudos realizados pela AMUNESC – Associação de Município do Nordeste de Santa Catarina, estima-se que no ano 2000 havia 23.114m³ de resíduos depositados na área.;25911;M²;RODOVIA SC 415;S/N;;MINA VELHA;Garuva;SC;89248-000;;
199;2019;2018;;18/12/2019;Gaspar;Gaspar;SC;Não;;;;;;;;;;;;
145;2019;2018;;05/12/2019;Guabiruba;Guabiruba;SC;Não;;;;;;;;;;;;
115;2019;2018;;15/10/2019;Ibicaré;Ibicaré;SC;Não;;;;;;;;;;;;
120;2019;2018;;05/11/2019;Irineópolis;Irineópolis;SC;Não;;;;;;;;;;;;
153;2019;2018;;08/10/2019;Itapiranga;Itapiranga;SC;Não;;;;;;;;;;;;
111;2019;2018;;26/09/2019;Jaraguá do Sul;Jaraguá do Sul;SC;Não;;;;;;;;;;;;
216;2019;2018;;22/11/2019;LAURO MULLER;LAURO MULLER;SC;Sim;Antigo Lixão do Município.;1.77;HEC;Estrada Geral Mina Lazarin;S/N;;Barro Branco;LAURO MULLER;SC;88880-000;;
173;2019;2018;;14/10/2019;Mafra;Mafra;SC;Sim;;;M²;BR 280;SN;KM 168,5;INTERIOR;Mafra;SC;89300000;;
161;2019;2018;;15/10/2019;Meleiro;Meleiro;SC;Não;;;;;;;;;;;;
177;2019;2018;;16/10/2019;Monte Castelo;Monte Castelo;SC;Não;;;;;;;;;;;;
166;2019;2018;;11/10/2019;Morro Grande;Morro Grande;SC;Sim;;;;;;;;;;;;
190;2019;2018;;23/10/2019;Ouro;Ouro;SC;Não;;;;;;;;;;;;
132;2019;2018;;19/11/2019;Passos Maia;Passos Maia;SC;Não;;;;;;;;;;;;
208;2019;2018;;11/11/2019;POUSO REDONDO;Pouso Redondo;SC;Não;;;;;;;;;;;;
171;2019;2018;;17/10/2019;Rancho Queimado;Rancho Queimado;SC;Não;;;;;;;;;;;;
231;2019;2018;;19/12/2019;Rio das Antas;Rio das Antas;SC;Não;;;;;;;;;;;;
139;2019;2018;;14/10/2019;São Bento do Sul;São Bento do Sul;SC;Sim;;600;M²;Estrada Banhados;s/n;;Rio Vermelho;São Bento do Sul;SC;89292-500;;
116;2019;2018;;02/10/2019;São José do Cedro;São José do Cedro;SC;Não;;;;;;;;;;;;
128;2019;2018;;03/10/2019;Saudades;Saudades;SC;Não;;;;;;;;;;;;
146;2019;2018;;07/10/2019;Timbó;Timbó;SC;Não;;;;;;;;;;;;
179;2019;2018;;16/10/2019;Xavantina;Xavantina;SC;Não;;;;;;;;;;;;
141;2019;2018;;07/10/2019;Xaxim;Xaxim;SC;Não;;;;;;;;;;;;
182;2019;2018;;17/10/2019;QUINTANA;Quintana;SP;Não;;;;;;;;;;;;
65;2019;2018;;17/09/2019;São Caetano do Sul;São Caetano do Sul;SP;Não;;;;;;;;;;;;
156;2019;2018;;08/10/2019;Socorro;Socorro;SP;Não;;;;;;;;;;;;
82;2019;2018;;23/09/2019;Abreulândia;Abreulândia;TO;Não;;;;;;;;;;;;
78;2019;2018;;02/09/2019;ANANÁS;Ananás;TO;Não;;;;;;;;;;;;
