Declaração;Ano;Ano Referencia;Data Criação;Data Entrega;Declarante;Município Declarante;UF Declarante;Link Plano Microrregional de Resíduos Sólidos;Possui Soluções Compartilhadas;Solução;Solução Consórcio;Soluções Compartilhadas - Cidade;Custo Coleta Convencional;Custo Coleta Seletiva;Custo Disposição Final;Possui Taxa de Cobrança;Descrição da Taxa
204;2019;2018;;17/12/2019;Irará;Irará;BA;;Não;;;;2472232.52;;;Não;
71;2019;2018;;13/08/2019;IMPERATRIZ;Imperatriz;MA;;Não;;;;;;;Não;
75;2019;2018;;27/08/2019;SÃO LUÍS;São Luís;MA;;Sim;Plano de Gestão Integrada de Resíduos Sólidos da Região Metropolitana de São Luís;Plano de Gestão Integrada de Resíduos Sólidos;Presidente Juscelino;2403809792.13;;;Não;
75;2019;2018;;27/08/2019;SÃO LUÍS;São Luís;MA;;Sim;Plano de Gestão Integrada de Resíduos Sólidos da Região Metropolitana de São Luís;Plano de Gestão Integrada de Resíduos Sólidos;Alcântara;2403809792.13;;;Não;
75;2019;2018;;27/08/2019;SÃO LUÍS;São Luís;MA;;Sim;Plano de Gestão Integrada de Resíduos Sólidos da Região Metropolitana de São Luís;Plano de Gestão Integrada de Resíduos Sólidos;Axixá;2403809792.13;;;Não;
75;2019;2018;;27/08/2019;SÃO LUÍS;São Luís;MA;;Sim;Plano de Gestão Integrada de Resíduos Sólidos da Região Metropolitana de São Luís;Plano de Gestão Integrada de Resíduos Sólidos;Bacabeira;2403809792.13;;;Não;
75;2019;2018;;27/08/2019;SÃO LUÍS;São Luís;MA;;Sim;Plano de Gestão Integrada de Resíduos Sólidos da Região Metropolitana de São Luís;Plano de Gestão Integrada de Resíduos Sólidos;Cachoeira Grande;2403809792.13;;;Não;
75;2019;2018;;27/08/2019;SÃO LUÍS;São Luís;MA;;Sim;Plano de Gestão Integrada de Resíduos Sólidos da Região Metropolitana de São Luís;Plano de Gestão Integrada de Resíduos Sólidos;Icatu;2403809792.13;;;Não;
75;2019;2018;;27/08/2019;SÃO LUÍS;São Luís;MA;;Sim;Plano de Gestão Integrada de Resíduos Sólidos da Região Metropolitana de São Luís;Plano de Gestão Integrada de Resíduos Sólidos;Morros;2403809792.13;;;Não;
75;2019;2018;;27/08/2019;SÃO LUÍS;São Luís;MA;;Sim;Plano de Gestão Integrada de Resíduos Sólidos da Região Metropolitana de São Luís;Plano de Gestão Integrada de Resíduos Sólidos;Paço do Lumiar;2403809792.13;;;Não;
75;2019;2018;;27/08/2019;SÃO LUÍS;São Luís;MA;;Sim;Plano de Gestão Integrada de Resíduos Sólidos da Região Metropolitana de São Luís;Plano de Gestão Integrada de Resíduos Sólidos;Raposa;2403809792.13;;;Não;
75;2019;2018;;27/08/2019;SÃO LUÍS;São Luís;MA;;Sim;Plano de Gestão Integrada de Resíduos Sólidos da Região Metropolitana de São Luís;Plano de Gestão Integrada de Resíduos Sólidos;Rosário;2403809792.13;;;Não;
