Declaração;Ano;Ano Referencia;Data Criação;Data Entrega;Declarante;Município Declarante;UF Declarante;orr_descricao;Possui Coleta Seletiva Implantada;Possui Plano de Gestão;Link do Plano;Periocidade da Revisão;Ano Última Versão Plano;Massa (TON);Caracterização - Descrição;Caracterização - Percentual;Caracterização - Destinação;Caracterização - Destinação percentual;Meta Informada;Meta - Valor Atual;Meta - Valor;Meta - Prazo;Meta - Programa;Meta - Programa - Descritivo
204;2019;2018;;17/12/2019;Irará;Irará;BA;Resíduos de serviços de saúde;Não;Sim;;;;3.84;Resíduos infectantes - Grupo A;53.1;Disposição Final em Aterro Sanitário;;Reciclagem;0;821.04;2029;Reciclagem;Formação de grupos informais e formais  mediante  cooperativismo, com atuação nos principais segmentos geradores de resíduos.
204;2019;2018;;17/12/2019;Irará;Irará;BA;Resíduos de serviços de saúde;Não;Sim;;;;3.84;Resíduos infectantes - Grupo A;53.1;Disposição Final em Aterro Sanitário;;Coleta Seletiva;0;1368.4;2029;Coleta seletiva ;Realizar a coleta por grupos residenciais, colégios, órgãos públicos, comércio, nos diferentes logradouros e comunidades.
204;2019;2018;;17/12/2019;Irará;Irará;BA;Resíduos de serviços de saúde;Não;Sim;;;;3.84;Resíduos infectantes - Grupo A;53.1;Disposição Final em Lixão;;Reciclagem;0;821.04;2029;Reciclagem;Formação de grupos informais e formais  mediante  cooperativismo, com atuação nos principais segmentos geradores de resíduos.
204;2019;2018;;17/12/2019;Irará;Irará;BA;Resíduos de serviços de saúde;Não;Sim;;;;3.84;Resíduos infectantes - Grupo A;53.1;Disposição Final em Lixão;;Coleta Seletiva;0;1368.4;2029;Coleta seletiva ;Realizar a coleta por grupos residenciais, colégios, órgãos públicos, comércio, nos diferentes logradouros e comunidades.
204;2019;2018;;17/12/2019;Irará;Irará;BA;Resíduos de serviços de saúde;Não;Sim;;;;3.84;Resíduos infectantes - Grupo A;53.1;Vala específica de RSS;;Reciclagem;0;821.04;2029;Reciclagem;Formação de grupos informais e formais  mediante  cooperativismo, com atuação nos principais segmentos geradores de resíduos.
204;2019;2018;;17/12/2019;Irará;Irará;BA;Resíduos de serviços de saúde;Não;Sim;;;;3.84;Resíduos infectantes - Grupo A;53.1;Vala específica de RSS;;Coleta Seletiva;0;1368.4;2029;Coleta seletiva ;Realizar a coleta por grupos residenciais, colégios, órgãos públicos, comércio, nos diferentes logradouros e comunidades.
204;2019;2018;;17/12/2019;Irará;Irará;BA;Resíduos de serviços de saúde;Não;Sim;;;;3.84;Resíduos contendo produtos químicos - Grupo B;6.25;Disposição Final em Aterro Sanitário;;Reciclagem;0;821.04;2029;Reciclagem;Formação de grupos informais e formais  mediante  cooperativismo, com atuação nos principais segmentos geradores de resíduos.
204;2019;2018;;17/12/2019;Irará;Irará;BA;Resíduos de serviços de saúde;Não;Sim;;;;3.84;Resíduos contendo produtos químicos - Grupo B;6.25;Disposição Final em Aterro Sanitário;;Coleta Seletiva;0;1368.4;2029;Coleta seletiva ;Realizar a coleta por grupos residenciais, colégios, órgãos públicos, comércio, nos diferentes logradouros e comunidades.
204;2019;2018;;17/12/2019;Irará;Irará;BA;Resíduos de serviços de saúde;Não;Sim;;;;3.84;Resíduos contendo produtos químicos - Grupo B;6.25;Disposição Final em Lixão;;Reciclagem;0;821.04;2029;Reciclagem;Formação de grupos informais e formais  mediante  cooperativismo, com atuação nos principais segmentos geradores de resíduos.
204;2019;2018;;17/12/2019;Irará;Irará;BA;Resíduos de serviços de saúde;Não;Sim;;;;3.84;Resíduos contendo produtos químicos - Grupo B;6.25;Disposição Final em Lixão;;Coleta Seletiva;0;1368.4;2029;Coleta seletiva ;Realizar a coleta por grupos residenciais, colégios, órgãos públicos, comércio, nos diferentes logradouros e comunidades.
204;2019;2018;;17/12/2019;Irará;Irará;BA;Resíduos de serviços de saúde;Não;Sim;;;;3.84;Resíduos contendo produtos químicos - Grupo B;6.25;Vala específica de RSS;;Reciclagem;0;821.04;2029;Reciclagem;Formação de grupos informais e formais  mediante  cooperativismo, com atuação nos principais segmentos geradores de resíduos.
204;2019;2018;;17/12/2019;Irará;Irará;BA;Resíduos de serviços de saúde;Não;Sim;;;;3.84;Resíduos contendo produtos químicos - Grupo B;6.25;Vala específica de RSS;;Coleta Seletiva;0;1368.4;2029;Coleta seletiva ;Realizar a coleta por grupos residenciais, colégios, órgãos públicos, comércio, nos diferentes logradouros e comunidades.
204;2019;2018;;17/12/2019;Irará;Irará;BA;Resíduos de serviços de saúde;Não;Sim;;;;3.84;Resíduos que não apresentam risco biológico, químico ou radiológico - Grupo D;0;Disposição Final em Aterro Sanitário;;Reciclagem;0;821.04;2029;Reciclagem;Formação de grupos informais e formais  mediante  cooperativismo, com atuação nos principais segmentos geradores de resíduos.
204;2019;2018;;17/12/2019;Irará;Irará;BA;Resíduos de serviços de saúde;Não;Sim;;;;3.84;Resíduos que não apresentam risco biológico, químico ou radiológico - Grupo D;0;Disposição Final em Aterro Sanitário;;Coleta Seletiva;0;1368.4;2029;Coleta seletiva ;Realizar a coleta por grupos residenciais, colégios, órgãos públicos, comércio, nos diferentes logradouros e comunidades.
204;2019;2018;;17/12/2019;Irará;Irará;BA;Resíduos de serviços de saúde;Não;Sim;;;;3.84;Resíduos que não apresentam risco biológico, químico ou radiológico - Grupo D;0;Disposição Final em Lixão;;Reciclagem;0;821.04;2029;Reciclagem;Formação de grupos informais e formais  mediante  cooperativismo, com atuação nos principais segmentos geradores de resíduos.
204;2019;2018;;17/12/2019;Irará;Irará;BA;Resíduos de serviços de saúde;Não;Sim;;;;3.84;Resíduos que não apresentam risco biológico, químico ou radiológico - Grupo D;0;Disposição Final em Lixão;;Coleta Seletiva;0;1368.4;2029;Coleta seletiva ;Realizar a coleta por grupos residenciais, colégios, órgãos públicos, comércio, nos diferentes logradouros e comunidades.
204;2019;2018;;17/12/2019;Irará;Irará;BA;Resíduos de serviços de saúde;Não;Sim;;;;3.84;Resíduos que não apresentam risco biológico, químico ou radiológico - Grupo D;0;Vala específica de RSS;;Reciclagem;0;821.04;2029;Reciclagem;Formação de grupos informais e formais  mediante  cooperativismo, com atuação nos principais segmentos geradores de resíduos.
204;2019;2018;;17/12/2019;Irará;Irará;BA;Resíduos de serviços de saúde;Não;Sim;;;;3.84;Resíduos que não apresentam risco biológico, químico ou radiológico - Grupo D;0;Vala específica de RSS;;Coleta Seletiva;0;1368.4;2029;Coleta seletiva ;Realizar a coleta por grupos residenciais, colégios, órgãos públicos, comércio, nos diferentes logradouros e comunidades.
204;2019;2018;;17/12/2019;Irará;Irará;BA;Resíduos de serviços de saúde;Não;Sim;;;;3.84;Resíduos perfurocortantes ou escarificantes - Grupo E;40.65;Disposição Final em Aterro Sanitário;;Reciclagem;0;821.04;2029;Reciclagem;Formação de grupos informais e formais  mediante  cooperativismo, com atuação nos principais segmentos geradores de resíduos.
204;2019;2018;;17/12/2019;Irará;Irará;BA;Resíduos de serviços de saúde;Não;Sim;;;;3.84;Resíduos perfurocortantes ou escarificantes - Grupo E;40.65;Disposição Final em Aterro Sanitário;;Coleta Seletiva;0;1368.4;2029;Coleta seletiva ;Realizar a coleta por grupos residenciais, colégios, órgãos públicos, comércio, nos diferentes logradouros e comunidades.
